PLAYER,SEASON_START_YEAR,POS,BODY.FAT..,HAND.LENGTH..inches.,HAND.WIDTH..inches.,HEIGHT.W.O.SHOES,HEIGHT.W..SHOES,STANDING.REACH,WEIGHT..LBS.,WINGSPAN
Malik Allen,2000,PF-C,NA,NA,NA,203.835,NA,276.86,271,219.71
Harold Arceneaux,2000,SG-SF,NA,NA,NA,194.31,NA,261.62,219,204.47
Lamont Barnes,2000,PF-C,NA,NA,NA,204.47,NA,274.32,235.5,222.25
Mario Bland,2000,PF,NA,NA,NA,196.85,NA,261.62,287,213.36
Primoz Brezec,2000,C,NA,NA,NA,215.26500000000001,NA,279.4,243,218.44000000000003
Ernest Brown,2000,C,NA,NA,NA,208.28,NA,278.13,222.5,216.53500000000003
Speedy Claxton,2000,PG,NA,NA,NA,179.07,NA,240.03000000000003,166,182.88
Eric Coley,2000,SG-SF,NA,NA,NA,193.04,NA,259.08,205,210.82
Ed Cota,2000,PG,NA,NA,NA,183.515,NA,245.11,189,193.04
Schea Cotton,2000,SF,NA,NA,NA,193.67499999999998,NA,254,219.5,200.66
Jamal Crawford,2000,PG-SG,NA,NA,NA,194.31,NA,260.35,175,208.28
Caswell Cyrus,2000,PF,NA,NA,NA,202.565,NA,273.05,220.5,218.44000000000003
Khalid El-Amin,2000,PG,NA,NA,NA,175.26,NA,236.22000000000003,200,186.69
Vassil Evtimov,2000,PF,NA,NA,NA,207.64499999999998,NA,270.51,262,209.55
Antonis Fotsis,2000,SF,NA,NA,NA,206.375,NA,269.24,219,204.47
Eddie Gill,2000,PG,NA,NA,NA,182.245,NA,236.22000000000003,176,193.04
Ceedric Goodwyn,2000,SF-PF,NA,NA,NA,198.12,NA,265.43,238,208.28
Marcus Goree,2000,SF-PF,NA,NA,NA,201.93,NA,267.97,239,214.63000000000002
A.J. Granger,2000,SF,NA,NA,NA,201.93,NA,261.62,227,207.01
A.J. Guyton,2000,PG-SG,NA,NA,NA,184.785,NA,247.65,175,192.405
Ron Hale,2000,SG-SF,NA,NA,NA,201.93,NA,265.43,202,210.82
Jason Hart,2000,PG,NA,NA,NA,187.325,NA,247.65,181,198.12
Donnell Harvey,2000,PF,NA,NA,NA,201.295,NA,267.97,220,214.63000000000002
Johnny Hemsley,2000,SG-SF,NA,NA,NA,189.865,NA,255.27,200,203.2
Michael Hermon,2000,SG-PG,NA,NA,NA,189.865,NA,250.19,195,198.755
Cory Hightower,2000,SG-SF,NA,NA,NA,196.85,NA,257.81,183,210.82
Shaheen Holloway,2000,PG,NA,NA,NA,176.53,NA,231.14000000000001,174,177.8
Eddie House,2000,SG-PG,NA,NA,NA,182.245,NA,241.3,176.5,191.76999999999998
Jimmie Hunter,2000,SG-PG,NA,NA,NA,190.5,NA,254,170,203.2
Jacob Jaacks,2000,PF,NA,NA,NA,206.375,NA,267.97,238,210.82
Marko Jaric,2000,SG-SF,NA,NA,NA,199.39,NA,264.16,210,205.74
Nate Johnson,2000,SF,NA,NA,NA,199.39,NA,264.16,211.5,204.47
Kenyon Jones,2000,PF-C,NA,NA,NA,205.74,NA,274.32,282,215.9
Mark Karcher,2000,SG,NA,NA,NA,193.04,NA,260.35,218,203.2
Brandon Kurtz,2000,PF-C,NA,NA,NA,207.01,NA,270.51,257,211.45499999999998
Dan Langhi,2000,SF,NA,NA,NA,205.74,NA,264.16,197.5,203.2
Justin Love,2000,PG-SG,NA,NA,NA,186.69,NA,247.65,205.5,194.31
Mark Madsen,2000,PF,NA,NA,NA,203.2,NA,265.43,236.5,214.63000000000002
Dan McClintock,2000,C-PF,NA,NA,NA,210.82,NA,271.78000000000003,250,217.17000000000002
Pete Mickeal,2000,SG-SF,NA,NA,NA,195.57999999999998,NA,262.89,222,207.01
Brian Montonati,2000,PF,NA,NA,NA,205.105,NA,269.24,215,209.55
Gabe Muoneke,2000,PF-SF,NA,NA,NA,198.755,NA,266.7,244,214.63000000000002
Ndongo N'diaye,2000,C,NA,NA,NA,212.09,NA,285.75,208,222.25
Eduardo Najera,2000,PF-SF,NA,NA,NA,199.39,NA,265.43,234.5,212.09
Matthew Nielsen,2000,PF,NA,NA,NA,205.74,NA,269.24,223,209.55
Chris Porter,2000,SF-PF,NA,NA,NA,196.85,NA,262.89,214,207.01
Lavor Postell,2000,SG,NA,NA,NA,194.31,NA,257.81,205,204.47
Igor Rakocevic,2000,PG,NA,NA,NA,189.23,NA,254,184,196.215
Reed Rawlings,2000,SG-SF,NA,NA,NA,198.755,NA,264.16,218,206.375
Michael Redd,2000,SG-SF,NA,NA,NA,194.945,NA,259.08,214,205.74
Damon Reed,2000,PF-C,NA,NA,NA,204.47,NA,265.43,228,207.01
Aubrey Reese,2000,PG,NA,NA,NA,179.705,NA,240.03000000000003,189,196.85
Terrance Roberson,2000,SF,NA,NA,NA,196.85,NA,262.89,209,203.2
Julius Doc Robinson,2000,PG,NA,NA,NA,182.88,NA,242.57000000000002,184,192.405
Pepe Sanchez,2000,PG,NA,NA,NA,190.5,NA,243.84,194,191.76999999999998
Matt Santangelo,2000,PG,NA,NA,NA,182.88,NA,238.76000000000002,177,190.5
Alex Scales,2000,SG-PG,NA,NA,NA,188.595,NA,247.65,184.5,205.74
Karim Shabazz,2000,C,NA,NA,NA,212.09,NA,283.21,224,220.98000000000002
Nick Sheppard,2000,PF-C,NA,NA,NA,207.01,NA,273.05,273,210.82
Mike Smith,2000,SF,NA,NA,NA,199.39,NA,261.62,198,204.47
Jabari Smith,2000,PF-C,NA,NA,NA,207.64499999999998,NA,278.13,240.5,219.71
Jarrett Stephens,2000,PF,NA,NA,NA,196.215,NA,261.62,258,206.375
Bootsy Thornton,2000,SG,NA,NA,NA,191.76999999999998,NA,257.81,194.5,199.39
Jaquay Walls,2000,PG,NA,NA,NA,186.055,NA,245.11,165.5,189.23
Jameel Watkins,2000,PF-C,NA,NA,NA,207.01,NA,279.4,244.5,228.60000000000002
Adam Allenspach,2001,C,12.4,NA,NA,212.09,NA,271.78000000000003,259,214.63000000000002
Gilbert Arenas,2001,SG,5.3,NA,NA,188.595,NA,252.73000000000002,199,207.01
Brandon Armstrong,2001,SG,9.3,NA,NA,191.76999999999998,NA,252.73000000000002,188,207.01
Shane Battier,2001,SF-PF,9.3,NA,NA,203.835,NA,266.7,229,209.55
Cookie Belcher,2001,SG-PG,5.3,NA,NA,190.5,NA,251.46,206,204.47
Charlie Bell,2001,PG,6.7,NA,NA,189.23,NA,247.65,200,201.93
Ruben Boumtje-Boumtje,2001,C,6,NA,NA,212.09,NA,281.94,245,223.52
Calvin Bowman,2001,PF,8.6,NA,NA,205.105,NA,264.16,214,212.09
Michael Bradley,2001,PF,9.3,NA,NA,207.01,NA,271.78000000000003,227,217.17000000000002
Jamison Brewer,2001,PG,6.7,NA,NA,189.23,NA,260.35,178,205.105
Kwame Brown,2001,PF-C,8.9,NA,NA,208.28,NA,274.32,243,215.9
SirValiant Brown,2001,PG,6.7,NA,NA,180.34,NA,234.95000000000002,176,193.04
Damone Brown,2001,SF,6.7,NA,NA,203.835,NA,265.43,202,212.725
Ryan Carroll,2001,SF-SG,8,NA,NA,193.04,NA,251.46,202,203.835
Tyson Chandler,2001,SF-PF,6.7,NA,NA,212.09,NA,279.4,224,220.98000000000002
Eric Chenowith,2001,C,12.9,NA,NA,215.9,NA,281.94,264,223.52
Sam Clancy,2001,PF,8,NA,NA,198.755,NA,271.78000000000003,242,220.34500000000003
Gyasi Cline-Heard,2001,PF,8,NA,NA,198.755,NA,261.62,231,212.09
Jason Collins,2001,PF-C,12.9,NA,NA,208.915,NA,279.4,251,224.79000000000002
Jarron Collins,2001,C-PF,15.2,NA,NA,206.375,NA,264.16,252,220.98000000000002
Omar Cook,2001,PG,5.5,NA,NA,181.61,NA,233.68,189,196.85
Eddy Curry,2001,C,16.5,NA,NA,209.55,NA,281.94,301,229.87
Tate Decker,2001,SF,13.6,NA,NA,206.375,NA,271.78000000000003,218,212.725
DeSagana Diop,2001,C,21,NA,NA,208.28,NA,287.02,314,229.87
Robb Dryden,2001,C,8,NA,NA,215.9,NA,280.03499999999997,241,219.71
Anthony Evans,2001,PF,12.9,NA,NA,198.12,NA,257.81,267,212.09
Maurice Evans,2001,SG,4,NA,NA,193.67499999999998,NA,256.54,221,203.2
Benjamin Eze,2001,C-PF,3.9,NA,NA,205.105,NA,276.86,232,228.60000000000002
Kimani Ffriend,2001,C-PF,11.7,NA,NA,207.01,NA,275.59,228,210.185
Alton Ford,2001,PF,8,NA,NA,203.835,NA,260.35,271,209.55
Joseph Forte,2001,SG,NA,NA,NA,191.76999999999998,NA,255.27,193,199.39
Jason Gardner,2001,PG,8,NA,NA,177.16500000000002,NA,234.95000000000002,188,186.055
Jerry Green,2001,PG-SG,5.5,NA,NA,186.69,NA,251.46,179,198.755
Kenny Gregory,2001,SF,6.7,NA,NA,191.76999999999998,NA,256.54,200,211.45499999999998
Eddie Griffin,2001,PF-SF,4,NA,NA,206.375,NA,279.4,222,220.98000000000002
Trenton Hassell,2001,SG-SF,5.3,NA,NA,193.67499999999998,NA,252.73000000000002,205,203.2
Kirk Haston,2001,PF-SF,10.5,NA,NA,203.2,NA,269.24,242,213.995
Charles Hathaway,2001,C,NA,NA,NA,203.2,NA,273.05,274,218.44000000000003
Brendan Haywood,2001,C,12.9,NA,NA,212.725,NA,288.29,266,229.87
Michael Hicks,2001,SG,7.3,NA,NA,193.04,NA,255.27,197,206.375
Steven Hunter,2001,C-PF,5.3,NA,NA,208.915,NA,274.32,224,223.52
Andre Hutson,2001,PF,11.7,NA,NA,203.835,NA,267.97,244,212.725
Nate James,2001,SF,6,NA,NA,194.945,NA,261.62,196,210.185
Richard Jefferson,2001,SF,6.7,NA,NA,201.295,NA,261.62,223,213.36
Horace Jenkins,2001,PG,6,NA,NA,182.245,NA,246.38,171,196.215
Darrell Johns,2001,C,19.1,NA,NA,211.45499999999998,NA,283.21,278,226.06
Ken Johnson,2001,C,9.9,NA,NA,210.185,NA,278.13,227,223.52
Joe Johnson,2001,SF-SG,6.7,NA,NA,200.025,NA,266.7,226,205.74
Darren Kelly,2001,SG-PG,6.7,NA,NA,187.96,NA,254,178,200.025
Sean Lampley,2001,SF,8,NA,NA,196.85,NA,256.54,213,206.375
Zach Marbury,2001,PG-SG,6.7,NA,NA,186.055,NA,245.11,183,191.76999999999998
Mike Mardesich,2001,C-PF,13.6,NA,NA,208.915,NA,275.59,247,214.63000000000002
DeMarcus Minor,2001,SG,6.7,NA,NA,191.135,NA,252.73000000000002,207,203.835
Jamario Moon,2001,SF,5.3,NA,NA,199.39,NA,261.62,185,212.09
Troy Murphy,2001,PF,11.7,NA,NA,207.64499999999998,NA,267.97,230,210.82
Troy Ostler,2001,PF-SF,8,NA,NA,205.105,NA,270.51,200,217.17000000000002
Lazaros Papadopoulos,2001,C-PF,11.7,NA,NA,208.915,NA,280.67,227,219.71
Rashad Phillips,2001,PG,12.4,NA,NA,175.26,NA,233.68,166,186.69
Demetrius Porter,2001,PG,12.4,NA,NA,179.705,NA,238.76000000000002,178,189.865
Martin Rancik,2001,PF-SF,8,NA,NA,205.105,NA,260.35,230,203.2
Jason Richardson,2001,SF-SG,5.3,NA,NA,194.945,NA,260.35,213,212.09
Norman Richardson,2001,SG,6,NA,NA,191.76999999999998,NA,251.46,180,194.31
Jeryl Sasser,2001,PG-SG,6.7,NA,NA,196.85,NA,262.89,194,209.55
Kenny Satterfield,2001,PG,6.7,NA,NA,185.42,NA,248.92000000000002,176,194.31
Brian Scalabrine,2001,PF-SF,13.6,NA,NA,205.105,NA,267.97,241,207.64499999999998
Lee Scruggs,2001,PF-SF,10.5,NA,NA,208.915,NA,280.67,209,227.965
Bobby Simmons,2001,SF,6.7,NA,NA,198.755,NA,266.7,235,213.995
Will Solomon,2001,PG-SG,4,NA,NA,182.245,NA,252.73000000000002,172,207.01
Greg Stevenson,2001,SF,7.3,NA,NA,192.405,NA,259.08,215,214.63000000000002
Damone Thornton,2001,PF,8,NA,NA,200.025,NA,263.525,235,217.805
Jamaal Tinsley,2001,PG,13.6,NA,NA,184.785,NA,247.65,199,201.93
Tory Walker,2001,SF,6.7,NA,NA,200.025,NA,265.43,187,211.45499999999998
Souleymane Wane,2001,C,11.2,NA,NA,204.47,NA,276.86,235,226.06
Earl Watson,2001,PG,4,NA,NA,182.88,NA,246.38,184,200.025
Rodney White,2001,SF,9.3,NA,NA,201.93,NA,265.43,243,212.09
Loren Woods,2001,C-PF,9.3,NA,NA,215.26500000000001,NA,287.02,246,227.33
Michael Wright,2001,PF,9.3,NA,NA,200.66,NA,270.51,247,212.09
Brent Wright,2001,PF-SF,12.4,NA,NA,202.565,NA,267.97,236,217.17000000000002
Nene,2002,PF,NA,NA,NA,206.375,NA,276.86,253,224.79000000000002
Robert Archibald,2002,PF-C,NA,NA,NA,208.28,NA,278.13,250,212.725
Maurice Baker,2002,PG,NA,NA,NA,182.245,NA,243.84,178,193.04
Matt Barnes,2002,SF,NA,NA,NA,200.025,NA,245.11,226,205.74
Lubos Barton,2002,SF-SG,NA,NA,NA,199.39,NA,271.78000000000003,221,213.36
Lonny Baxter,2002,PF-C,NA,NA,NA,198.755,NA,273.05,264,217.17000000000002
Lee Benson,2002,SF-PF,NA,NA,NA,203.835,NA,276.86,217,217.805
Carlos Boozer,2002,PF,NA,NA,NA,202.565,NA,275.59,258,219.07500000000002
Curtis Borchardt,2002,C,NA,NA,NA,210.185,NA,284.48,238,219.71
J.R. Bremer,2002,SG-PG,NA,NA,NA,186.055,NA,243.84,188,188.595
Brian Brown,2002,PG-SG,NA,NA,NA,189.23,NA,251.46,194,200.66
Sylvere Bryan,2002,PF,NA,NA,NA,205.74,NA,278.13,226,224.79000000000002
Chris Burgess,2002,C,NA,NA,NA,208.28,NA,276.86,246,212.09
Caron Butler,2002,SF-SG,NA,NA,NA,196.215,NA,262.89,222,212.09
Rasual Butler,2002,SF,NA,NA,NA,200.025,NA,267.97,198,213.36
Mire Chatman,2002,PG-SG,NA,NA,NA,182.88,NA,248.92000000000002,174,198.12
Chris Christoffersen,2002,C,NA,NA,NA,215.26500000000001,NA,276.86,291,222.25
Lenny Cooke,2002,SG-SF,NA,NA,NA,196.85,NA,271.78000000000003,214,215.9
Craig Dawson,2002,SG-SF,NA,NA,NA,191.76999999999998,NA,259.08,200,198.755
Mike Dunleavy,2002,SF,NA,NA,NA,203.2,NA,269.24,230,205.74
Teddy Dupay,2002,PG,NA,NA,NA,176.53,NA,229.87,178,179.705
Corsley Edwards,2002,PF,NA,NA,NA,201.295,NA,270.51,285,210.185
Andy Ellis,2002,PF,NA,NA,NA,206.375,NA,259.08,220,208.915
Melvin Ely,2002,PF,NA,NA,NA,205.74,NA,281.94,240,223.52
Reggie Evans,2002,PF,NA,NA,NA,201.93,NA,273.05,250,219.71
