Player Name,Season Start Year,Position,Age,Team,Games Played,Minutes Played,Player Efficiency Rating,True Shooting Percentage,3-Point Attempt Rate,Free Throw Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Win Shares,Defensive Win Shares,Total Win Shares,Win Shares Per 48 Minutes,Offensive Box Plus/Minus,Defensive Box Plus/Minus,Box Plus/Minus,Value Over Replacement Player,College,Country,Draft Year,Draft Round,Draft Number,Combine Year,Combine Position,Body Fat Percentage,Hand Length (cm),Hand Width (cm),Height Without Shoes (cm),Height With Shoes (cm),Standing Reach (cm),Weight (lbs),Wingspan
A.C. Green,2000,PF,37,MIA,82,1411,11.2,0.492,0.019,0.343,9,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-2.2,0,-2.2,-0.1,Oregon State,USA,1985,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Guyton,2000,PG,22,CHI,33,630,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-0.8,-3.2,-4,-0.3,Indiana,USA,2000,2,32,2000,PG-SG,NA,NA,NA,184.785,NA,247.65,175,192.405
A.J. Guyton,2001,PG,23,CHI,45,607,11.8,0.477,0.504,0.111,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,0,0,0.1,0.006,1.3,-2.8,-1.6,0.1,Indiana,USA,2000,2,32,2000,PG-SG,NA,NA,NA,184.785,NA,247.65,175,192.405
A.J. Guyton,2002,PG,24,GSW,2,9,-9,0,0.25,0,0,0,0,28.7,5.7,0,20,23.6,-0.1,0,-0.1,-0.45,-14.1,-2.3,-16.4,0,Indiana,USA,2000,2,32,2000,PG-SG,NA,NA,NA,184.785,NA,247.65,175,192.405
Aaron Brooks,2007,PG,23,HOU,51,608,13.1,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,0.112,-0.5,0.2,-0.2,0.3,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2008,PG,24,HOU,80,1998,12.9,0.521,0.395,0.22,2,7,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,0.086,-0.3,-0.6,-0.9,0.6,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2009,PG,25,HOU,82,2919,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2010,PG,26,TOT,59,1284,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,0.04,-0.3,-2.7,-3,-0.3,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2010,PG,26,HOU,34,811,11.7,0.465,0.437,0.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,0.1,0.3,0.4,0.023,-1.3,-2.8,-4.1,-0.4,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2010,PG,26,PHO,25,473,15.6,0.533,0.335,0.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,0.6,0.1,0.7,0.07,1.3,-2.4,-1.1,0.1,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2012,PG,28,TOT,53,997,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,-0.8,-1.4,-2.2,0,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2012,PG,28,SAC,46,959,12.1,0.562,0.419,0.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18,0.9,0,0.9,0.045,-0.7,-1.4,-2.1,0,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2012,PG,28,HOU,7,38,5.6,0.385,0.538,0,3,3,3,23.1,1.3,6,23.5,19.6,-0.1,0,0,-0.063,-4.1,0.1,-4,0,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2013,PG,29,TOT,72,1557,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1,0.4,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2013,PG,29,HOU,43,716,11.9,0.529,0.502,0.167,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,-0.1,-0.3,-0.4,0.3,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2013,PG,29,DEN,29,841,12.9,0.508,0.365,0.16,2.6,7.5,5,27.7,1.6,0.6,16.2,20.5,0.6,0.4,1,0.058,-0.3,-1.2,-1.5,0.1,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2014,PG,30,CHI,82,1885,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,0.3,-1.1,-0.8,0.5,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2015,PG,31,CHI,69,1108,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-1.3,-1.3,-2.6,-0.2,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2016,PG,32,IND,65,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.4,-1.2,-3.7,-0.4,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
Aaron Brooks,2017,PG,33,MIN,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1,Oregon,USA,2007,1,26,2007,PG,2.7,NA,NA,177.8,182.245,238.76,161,193.04
